القطاع,اسم المنتج,التصنيف الرئيسي,التصنيف الفرعي,التصنيف المحاسبي الرئيسي,التصنيف المحاسبي الفرعي
المقاولات والإنشاءات,أسمنت بورتلاندي,مواد بناء,أسمنت,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,حديد تسليح,مواد بناء,حديد,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,رمل بناء,مواد بناء,رمل,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,طوب أحمر,مواد بناء,طوب,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,بلاط سيراميك,مواد تشطيب,بلاط,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,دهانات جدران,مواد تشطيب,دهانات,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,ألمنيوم نوافذ,مواد تشطيب,ألمنيوم,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,خشب تشطيب,مواد تشطيب,خشب,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,أسلاك كهربائية,مواد كهربائية,أسلاك,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,أنابيب مياه بلاستيكية,مواد صحية,أنابيب,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد عزل حراري,مواد عزل,عزل حراري,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد عزل صوتي,مواد عزل,عزل صوتي,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد لحام,مواد معدنية,لحام,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,بلاستيك بناء,مواد بلاستيكية,بلاستيك,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد تسقيف معدني,مواد تسقيف,صفائح معدنية,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد خرسانة جاهزة,مواد بناء,خرسانة,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد تبليط أرضيات,مواد تشطيب,تبليط,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد سباكة,مواد صحية,سباكة,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد تركيب كهرباء,مواد كهربائية,تركيبات كهربائية,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,مواد تركيب تكييف,مواد ميكانيكية,تركيب تكييف,تكاليف مباشرة,تكلفة المواد الأولية
المقاولات والإنشاءات,بلاط سيراميك,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,دهان جدران داخلي,أعمال التشطيب,الدهانات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,ورق جدران,أعمال التشطيب,الجدران,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,أبواب خشبية,أعمال التشطيب,الأبواب والنوافذ,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,نوافذ ألومنيوم,أعمال التشطيب,الأبواب والنوافذ,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,رخام أرضيات,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط بورسلين,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط حمامات,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط مطابخ,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط جداريات,أعمال التشطيب,الجدران,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,مواد عزل حراري,أعمال التشطيب,العزل,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,مواد عزل صوتي,أعمال التشطيب,العزل,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,جبس بورد,أعمال التشطيب,الأسقف,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,إضاءة داخلية,أعمال التشطيب,التركيبات الكهربائية,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,سيراميك جدران,أعمال التشطيب,الجدران,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط مدخل خارجي,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,بلاط حمامات سباحة,أعمال التشطيب,الأرضيات,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,مواد لصق بلاط,أعمال التشطيب,اللواصق,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,مواد تنظيف التشطيب,أعمال التشطيب,التنظيف,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,مواد تلميع أرضيات,أعمال التشطيب,التنظيف,تكاليف مباشرة,تكلفة مواد التشطيب
المقاولات والإنشاءات,أجور عمال بناء,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور مشرفي مواقع,تكاليف الإشراف,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور كهربائيين,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور سباكين,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال صيانة,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور نقالي مواد,تكاليف النقل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال حفر,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال دهان,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب بلاط,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور مشرفي سلامة,تكاليف الإشراف,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب نوافذ,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب أبواب,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تنظيف مواقع,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تعبئة خرسانة,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب أسقف,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
المقاولات والإنشاءات,أجور عمال تركيب عزل,تكاليف العمل,أجور عمالة,تكاليف مباشرة,أجور عمالة المواقع
